bairro_origem,bairro_destino,logradouro,observacao,peso
Dois Unidos,Linha do Tiro,3av.hildebrando_vasconcelos,av = avenida,1.0
Aflitos,Alto do Mandu,av.norte+av.santos_dumont,av = avenida,2.0
Aflitos,Apipucos,"r. dos aflitos + r. alvares de azevedo + av. 17 de agosto","av= avenida ; r=rua",4.0
Aflitos,Casa Amarela,"r.manuel_de_carvalho+av.santos_dumont+estr.do_arraial","av= avenida ; est=estrada",4.5
Aflitos,Casa Forte,2av.cons.castro_alves+av.mascarenhas_de_moraes,"av=avenida; est= estrada",7.5
Aflitos,Derby,"r.da_angustura+r.quarenta_e_oito+av.gov_agamenon_magalhaes","av= avenida; r=rua",5.0
Aflitos,Dois Irmaos,"r.da_angustura+r.joao_de_barros+av.gov_agamenon_magalhaes+av.norte+av.professor_andrade_bezerra+br-101","av= avenida; r=rua",8.0
Aflitos,Espinheiro,"r.da_angustura+r.quarenta_e_oito+av.joao_de_barros+r.do_espinheiro","r=rua; av= avenida",6.0
Aflitos,Gracas,r.da_angustura+r.quarenta_e_oito+r.das_gracas,r=rua,6.0
Aflitos,Jaqueira,"r.da_angustura+r.joao_de_barros+av.gov_agamenon_magalhaes+r.do_futuro","r=rua; av= avenida",6.0
Aflitos,Monteiro,r.da_angustura+r.rosarinho+estr.do_arraial,"r=rua;est=estrada",5.5
Aflitos,Parnamirim,r.da_angustura+r.rosarinho+av.dezessete_de_agosto,"r=rua;av=avenida",5.0
Aflitos,Poco,r.da_angustura+r.joao_de_barros+r.do_arraial+av.dezessete_de_agosto,"r=rua;av=avenida",6.0
Aflitos,Santana,"r.da_angustura+r.joao_de_barros+r.do_arraial+av.dezessete_de_agosto","r=rua;av=avenida",6.0
Aflitos,Sitio dos Pintos,r.da_angustura+r.rosarinho+av.norte_miguel_arraes_de_alencar,"r=rua;av=avenida",5.0
Aflitos,Tamarineira,"r.da_angustura+r.joao_de_barros+r.do_arraiál+av.norte_miguel_arraes_de_alencar","r=rua;av=avenida",6.0
Alto do Mandu,Apipucos,r.mandacaru+r.de_apipucos,r=rua,4.0
Alto do Mandu,Casa Amarela,r.pedro_de_barros+r.da_harmonia,r=rua,4.0
Alto do Mandu,Casa Forte,1r.mandacaru+r.de_apipucos+av.dezessete_de_agosto,"r=rua;av=avenida",5.0
Alto do Mandu,Derby,r.pedro_de_barros+av.norte_miguel_arraes_de_alencar,"r=rua;av=avenida",3.0
Alto do Mandu,Dois Irmaos,r.mandacaru+r.dois_irmaos,r=rua,4.0
Alto do Mandu,Espinheiro,"r.pedro_de_barros+r.da_harmonia+r.domingos_ferreira+av.conselheiro_rosa_e_silva","r=rua;av=avenida",7.0
Alto do Mandu,Gracas,r.mandacaru+r.de_apipucos+av.dezessete_de_agosto+av.rui_barbosa,"r=rua;av=avenida",6.0
Alto do Mandu,Jaqueira,r.pedro_de_barros+r.da_harmonia+r.conselheiro_aguiar+r.do_futuro,r=rua,8.0
Alto do Mandu,Monteiro,r.mandacaru+r.de_apipucos+r.da_hora,r=rua,6.0
Alto do Mandu,Parnamirim,"r.pedro_de_barros+r.da_harmonia+r.conselheiro_aguiar+av.dezessete_de_agosto","r=rua;av=avenida",7.0
Alto do Mandu,Poco,2r.mandacaru+r.de_apipucos+av.dezessete_de_agosto,"r=rua;av=avenida",5.0
Alto do Mandu,Santana,"r.mandacaru+r.de_apipucos+av.dezessete_de_agosto+av.joao_de_barros","r=rua;av=avenida",6.0
Alto do Mandu,Sitio dos Pintos,r.dois_irmaos,"r=rua ",2.0
